date,total_loans,overdue_90_plus,npl_ratio_90plus,source,year
2013-02-01,11597.161728,3498.513618,30.16698137056453,89157.bin,2013
2013-03-01,11648.632969,3548.374354,30.461723392291045,89157.bin,2013
2013-04-01,11782.933596,3556.028832,30.179486314063414,89157.bin,2013
2013-05-01,11986.64597,3653.973188,30.483699920270524,89157.bin,2013
2013-06-01,12083.217387,3670.244746,30.37473073975078,89157.bin,2013
2013-07-01,12255.752575,3672.910581,29.968870198083287,89157.bin,2013
2013-08-01,12401.548043,3709.876072,29.914620812955878,89157.bin,2013
2013-09-01,12508.902175,3716.560455,29.711324007536255,89157.bin,2013
2013-10-01,12673.328649,3756.203987,29.638653672067335,89157.bin,2013
2013-11-01,12786.816469,3765.26227,29.44644023888508,89157.bin,2013
2013-12-01,13260.386582,4157.719967,31.35444009335142,89157.bin,2013
2014-01-01,13348.171086,4158.212558,31.151927340527347,89160.bin,2014
2014-02-01,13367.48667,4309.472053,32.2384615701285,89160.bin,2014
2014-03-01,14413.095128,4838.547661,33.57049695453866,89160.bin,2014
2014-04-01,14503.513642,4770.292252,32.890597201122,89160.bin,2014
2014-05-01,14608.408826,4923.982347,33.70649333304742,89160.bin,2014
2014-06-01,14707.800043,4927.408167,33.50200677595655,89160.bin,2014
2014-07-01,14535.657692,4685.464741,32.23428096809642,89160.bin,2014
2014-08-01,14492.163008,4581.56872,31.614112520476557,89160.bin,2014
2014-09-01,14512.956047,4359.275476,30.037130009093595,89160.bin,2014
2014-10-01,14451.985163,4294.751548,29.717381380901436,89160.bin,2014
2014-11-01,14249.73096,3929.077372,27.57299336407963,89160.bin,2014
2014-12-01,14361.425322,3780.657951,26.325088674927557,89160.bin,2014
2015-01-01,14184.81402,3340.37079,23.54892200412508,89163.bin,2015
2015-02-01,14230.888468,3346.831601,23.518079061091548,89163.bin,2015
2015-03-01,14169.345288,3317.207479,23.411155643227488,89163.bin,2015
2015-04-01,14133.24578,3309.813558,23.4186372296994,89163.bin,2015
2015-05-01,14184.327441,3273.294649,23.076840707572,89163.bin,2015
2015-06-01,14115.049017,3220.993402,22.819569369689567,89163.bin,2015
2015-07-01,12503.941107,1247.575278,9.977456446124638,89163.bin,2015
2015-08-01,12464.61505,1165.283088,9.348729048796416,89163.bin,2015
2015-09-01,13622.624277,1254.95753,9.212303771152449,89163.bin,2015
2015-10-01,14350.08477,1315.748583,9.168925508723671,89163.bin,2015
2015-11-01,14491.758379,1354.340337,9.34559010425246,89163.bin,2015
2015-12-01,15053.085657,1422.293626,9.44851878484199,89163.bin,2015
2016-01-01,15553.712323,1236.915283,7.952540572393869,92317.bin,2016
2016-02-01,15918.346419,1324.165698,8.31848775711708,92317.bin,2016
2016-03-01,15620.069455,1293.128625,8.27863556385191,92317.bin,2016
2016-04-01,15619.253517,1305.03735,8.35531191410394,92317.bin,2016
2016-05-01,15171.316586,1227.76289,8.092658821271801,92317.bin,2016
2016-06-01,15302.890407,1256.336024,8.20979560453046,92317.bin,2016
2016-07-01,15315.505162,1209.406225,7.89661334841709,92317.bin,2016
2016-08-01,15673.482493,1289.953452,8.23016488247657,92317.bin,2016
2016-09-01,15649.533458,1310.556765,8.37441428217176,92317.bin,2016
2016-10-01,15490.238671,1217.36494,7.858916611007979,92317.bin,2016
2016-11-01,15524.883859,1174.829975,7.567399445110399,92317.bin,2016
2016-12-01,15693.671967,1142.752509,7.28161332416615,92317.bin,2016
2017-01-01,15510.812258,1897.715944,12.23,89170.bin,2017
2017-02-01,15303.497567,2107.921552,13.7741162944702,89170.bin,2017
2017-03-01,15138.687438,2800.035754,18.49589513930752,89170.bin,2017
2017-04-01,15248.051335,2664.034462,17.4713109463702,89170.bin,2017
2017-05-01,15287.641322,2700.515436,17.6646964637623,89170.bin,2017
2017-06-01,15394.12648,2577.073552,16.74062867645089,89170.bin,2017
2017-07-01,15533.282053,4392.308223,28.27675573013687,89170.bin,2017
2017-08-01,13502.248466,2550.608249,18.890248208827472,89170.bin,2017
2017-09-01,13748.337754,2589.309811,18.83362088807176,89170.bin,2017
2017-10-01,13902.949887,2669.945349,19.204164373033823,89170.bin,2017
2017-11-01,13821.503672,2816.29055,20.376151660729377,89170.bin,2017
2017-12-01,13657.661991,2416.913967,17.6963961225038,89170.bin,2017
2018-01-01,13590.511446,1989.78518,14.6409882211286,89173.bin,2018
2018-02-01,13223.258485,2212.281257,16.730227723443008,89173.bin,2018
2018-03-01,13221.422933,2411.843468,18.241935684397202,89173.bin,2018
2018-04-01,13306.287646,2181.357472,16.3934339166021,89173.bin,2018
2018-05-01,13413.33605,2053.097602,15.306390553004901,89173.bin,2018
2018-06-01,13397.613347,2079.137069,15.5187122896449,89173.bin,2018
2018-07-01,13482.133955,1916.29983,14.213624018246199,89173.bin,2018
2018-08-01,13486.517533,1942.79385,14.4054522989067,89173.bin,2018
2018-09-01,13588.002716,1774.319459,13.057985754674,89173.bin,2018
2018-10-01,13194.101718,1872.289596,14.190352901749549,89173.bin,2018
2018-11-01,13331.655244,1870.45255,14.030159914627326,89173.bin,2018
2018-12-01,13461.417003,2076.431448,15.425058502661706,89173.bin,2018
2019-01-01,13348.171085,4187.572766,31.371884128049444,89160.bin,2019
2019-02-01,13132.901232,1916.427934,14.592570979901815,89176.bin,2019
2019-03-01,13067.231755,1986.229052,15.20007518991156,89176.bin,2019
2019-04-01,13044.766396,2042.907598,15.660744976057448,89176.bin,2019
2019-05-01,13165.875733,2037.759318,15.47758280060625,89176.bin,2019
2019-06-01,13268.756804,2029.895389,15.29830879399393,89176.bin,2019
2019-07-01,13646.918405,1961.3331,14.371985248196403,89176.bin,2019
2019-08-01,13714.169059,1895.027258,13.818024627284128,89176.bin,2019
2019-09-01,13856.582677,1916.768761,13.832911084069599,89176.bin,2019
2019-10-01,14256.609988,1935.50404,13.58,89176.bin,2019
2019-11-01,14291.926137,1867.078423,13.063868404457901,89176.bin,2019
2019-12-01,14092.329485,1670.086557,11.8510325690132,89176.bin,2019
2020-01-01,14743.02304,1806.205518,12.251256157570245,89179.bin,2020
2020-02-01,14509.602879,1956.433185,13.4837128301532,89179.bin,2020
2020-03-01,14537.627324,1968.138973,13.54,89179.bin,2020
2020-04-01,15261.023402,2423.615322,15.8810799129132,89179.bin,2020
2020-05-01,14883.465568,2276.019344,15.2922673392246,89179.bin,2020
2020-06-01,15068.167394,1886.631114,12.52064079638,89179.bin,2020
2020-07-01,14992.513034,1953.666982,13.0309506989887,89179.bin,2020
2020-08-01,14858.088988,2141.873386,14.415537474098214,89179.bin,2020
2020-09-01,15181.429018,1975.304682,13.011322449671647,89179.bin,2020
2020-10-01,15306.32492,2021.509956,13.207023675282073,89179.bin,2020
2020-11-01,15414.601015,1925.294719,12.490071699724755,89179.bin,2020
2020-12-01,15619.400074,1983.891974,12.701460776988355,89179.bin,2020
2021-01-01,15792.064484,1528.729252,9.680363536691852,89182.bin,2021
2021-02-01,15617.119778,1793.407911,11.483602203822452,89182.bin,2021
2021-03-01,15373.024452,1733.33452,11.275169212226789,89182.bin,2021
2021-04-01,15792.658074,1671.799849,10.585930760777643,89182.bin,2021
2021-05-01,16037.076105,1675.935809,10.450382588615895,89182.bin,2021
2021-06-01,16730.620712,1638.918355,9.795920804208356,89182.bin,2021
2021-07-01,16764.377993,1194.882148,7.1275066005963685,89182.bin,2021
2021-08-01,17059.759157,1272.402159,7.458500130571332,89182.bin,2021
2021-09-01,17471.752609,1274.013802,7.291848908985431,89182.bin,2021
2021-10-01,18084.848325,1225.141112,6.774406342719493,89182.bin,2021
2021-11-01,18337.475972,1168.64413,6.372982474711542,89182.bin,2021
2021-12-01,18951.577802,1237.094097,6.527657538137438,89182.bin,2021
2022-01-01,20200.3551,1063.823819,5.27,89185.bin,2022
