date,total_loans,overdue_90_plus,npl_ratio_90plus,source,year,brent_price,brent_return,vix,vix_innovation,oil_shock,vix_shock
2013-02-01,11597.161728,3498.513618,30.16698137056453,89157.bin,2013,116.05052631578947,0.02699189421546233,14.072631578947368,-0.5905757025873388,0.2588133468099006,-0.1405418583168237
2013-03-01,11648.632969,3548.374354,30.461723392291045,89157.bin,2013,108.474,-0.06751515503246175,13.0315,-2.038981477962519,-0.5532643868370776,-0.4767314069312412
2013-04-01,11782.933596,3556.028832,30.179486314063418,89157.bin,2013,102.24818181818182,-0.0591074998923915,13.967272727272727,-0.35588605600640477,-0.48101930474248894,-0.08606803082322378
2013-05-01,11986.64597,3653.973188,30.483699920270524,89157.bin,2013,102.55863636363637,0.003031684062041684,13.493636363636364,-1.5012186877203586,0.052928671392182415,-0.35191125446650007
2013-06-01,12083.217387,3670.244746,30.37473073975078,89157.bin,2013,102.9195,0.003512432161913992,17.2715,2.616620424106845,0.05705963125714688,0.603880620854756
2013-07-01,12255.752575,3672.910581,29.968870198083287,89157.bin,2013,107.93318181818182,0.04756521953034021,13.974545454545455,-3.392079005436342,0.4355952855990329,-0.7907989525918327
2013-08-01,12401.548043,3709.876072,29.91462081295588,89157.bin,2013,111.28045454545455,0.030541283517354856,14.21,-0.7900754041469504,0.28931244759708363,-0.18684774562845347
2013-09-01,12508.902175,3716.560455,29.711324007536255,89157.bin,2013,111.59649999999999,0.0028360551410528956,14.692000000000002,-0.4770843257305657,0.05124767624889294,-0.11419936824547326
2013-10-01,12673.328649,3756.203987,29.638653672067335,89157.bin,2013,109.07652173913044,-0.022840017225961518,15.407826086956522,-0.10723711994637775,-0.16938101571313946,-0.028354111838177945
2013-11-01,12786.816469,3765.26227,29.44644023888508,89157.bin,2013,107.792,-0.011846226003978444,12.924000000000001,-3.104882104577557,-0.07491385023942572,-0.7241376632593152
2013-12-01,13260.386582,4157.719967,31.35444009335142,89157.bin,2013,110.75666666666666,0.027132158531072648,14.192380952380953,-0.05361449121762796,0.26001860640099794,-0.01590776037070519
2014-01-01,13348.171086,4158.212558,31.151927340527347,89160.bin,2014,108.11772727272728,-0.02411490197708943,14.24095238095238,-0.9154850186732908,-0.1803358124991558,-0.21595657853724065
2014-02-01,13367.48667,4309.472053,32.2384615701285,89160.bin,2014,108.90052631578948,0.007214162174134842,15.47,0.278698101382453,0.0888677613682808,0.061225334791228436
2014-03-01,14413.095128,4838.547661,33.57049695453866,89160.bin,2014,107.48095238095237,-0.013121218232134524,14.836666666666666,-1.236843779970826,-0.08586957055127582,-0.2905471792795788
2014-04-01,14503.513642,4770.292252,32.890597201122,89160.bin,2014,107.7552380952381,0.002548696500857872,14.19809523809524,-1.420809486393269,0.048778468341858665,-0.33324747007804184
2014-05-01,14608.408826,4923.982347,33.70649333304742,89160.bin,2014,109.53909090909092,0.01641913893756808,12.475238095238096,-2.6853010101513277,0.16796404813004484,-0.6267486710718468
2014-06-01,14707.800043,4927.408167,33.50200677595655,89160.bin,2014,111.79523809523809,0.0203874865953253,11.541428571428572,-2.382446246190158,0.20206316346461406,-0.5564530342255645
2014-07-01,14535.657692,4685.464741,32.23428096809642,89160.bin,2014,106.76818181818182,-0.04600900766056526,12.296363636363635,-0.9572240976955797,-0.368466918751582,-0.2256446385924072
2014-08-01,14492.163008,4581.56872,31.614112520476557,89160.bin,2014,101.60809523809523,-0.049536749576871486,13.491904761904761,-0.30357423589718024,-0.3987800084425961,-0.07392593122053245
2014-09-01,14512.956047,4359.275476,30.037130009093595,89160.bin,2014,97.09142857142858,-0.04547011234835807,13.466666666666667,-1.1869699680859558,-0.36383631302118663,-0.2789709659073891
2014-10-01,14451.985163,4294.751548,29.717381380901436,89160.bin,2014,87.42521739130434,-0.10486932761247214,18.058695652173913,3.4231748845445207,-0.8742403569094821,0.7910900234941856
2014-11-01,14249.73096,3929.077372,27.57299336407963,89160.bin,2014,79.4378947368421,-0.09580825146258487,13.413157894736841,-4.5185144303961025,-0.7963805756258677,-1.0522559444782522
2014-12-01,14361.425322,3780.657951,26.325088674927557,89160.bin,2014,62.33500000000001,-0.24245245229024892,16.292272727272728,1.6951604763345927,-2.056461079760511,0.3900004988788721
2015-01-01,14184.81402,3340.37079,23.54892200412508,89163.bin,2015,47.7595,-0.26634506577911754,19.1195,2.4557634160174047,-2.261764912303668,0.5665440913680196
2015-02-01,14230.888468,3346.831601,23.518079061091548,89163.bin,2015,58.0955,0.1959102081726174,15.90421052631579,-2.7889055776628275,1.7102902753714848,-0.6507963332520538
2015-03-01,14169.345288,3317.207479,23.411155643227488,89163.bin,2015,55.88545454545454,-0.03878406679992441,14.812727272727273,-1.5724588421425558,-0.3063846333926245,-0.36844681084552383
2015-04-01,14133.24578,3309.813558,23.4186372296994,89163.bin,2015,59.52428571428571,0.06308025115041005,13.494761904761905,-2.1069591584587712,0.5689124488768218,-0.4925097102978999
2015-05-01,14184.327441,3273.294649,23.076840707572,89163.bin,2015,64.075,0.07366987970921102,13.3385,-1.3171874876344987,0.6599067358493705,-0.30919576193001885
2015-06-01,14115.049017,3220.993402,22.819569369689567,89163.bin,2015,61.47772727272727,-0.041379321199805474,14.339545454545457,-0.20397747089115548,-0.32868506841905254,-0.050808520312557795
2015-07-01,12503.941107,1247.575278,9.977456446124638,89163.bin,2015,56.56130434782609,-0.08334986841557779,14.352727272727272,-0.9093445870792252,-0.6893285033177093,-0.2145313226034386
2015-08-01,12464.61505,1165.283088,9.348729048796416,89163.bin,2015,46.515,-0.19555024141422983,19.42809523809524,4.156561488856456,-1.6534409726432966,0.9613164308002626
2015-09-01,13622.624277,1254.95753,9.212303771152447,89163.bin,2015,47.62318181818182,0.023544814451530005,24.377142857142857,5.462517551481046,0.22919336877999705,1.264441968317742
2015-10-01,14350.08477,1315.748583,9.168925508723673,89163.bin,2015,48.43,0.016799800743085846,16.789545454545454,-5.677498851337695,0.17123498906800483,-1.3212678857117564
2015-11-01,14491.758379,1354.340337,9.34559010425246,89163.bin,2015,44.26761904761905,-0.08986599364240178,16.21,-0.8106782060144013,-0.7453200959922142,-0.19162986316607267
2015-12-01,15053.085657,1422.293626,9.44851878484199,89163.bin,2015,38.00545454545455,-0.15252377267746997,18.025454545454547,1.4207732024114001,-1.2837242425513558,0.3263124527980809
2016-01-01,15553.712323,1236.915283,7.952540572393869,92317.bin,2016,30.6995,-0.21348332227969458,23.717894736842105,5.810082828538405,-1.807535887069529,1.3451153649546006
2016-02-01,15918.346419,1324.165698,8.31848775711708,92317.bin,2016,32.1815,0.04714538546530589,22.517,0.5231630117031933,0.4319877462804952,0.11796809931901073
2016-03-01,15620.069455,1293.128625,8.27863556385191,92317.bin,2016,38.210454545454546,0.17171740408871194,15.84909090909091,-5.282745628047449,1.5024069728309088,-1.229641692135127
2016-04-01,15619.253517,1305.03735,8.35531191410394,92317.bin,2016,41.583333333333336,0.08459028859392914,14.300476190476191,-2.0451451453519116,0.7537433434693573,-0.47816205612684565
2016-05-01,15171.316586,1227.76289,8.092658821271801,92317.bin,2016,46.742380952380955,0.11695182220880529,14.852857142857141,-0.3811708574661381,1.0318186942970775,-0.09193688755803694
2016-06-01,15302.890407,1256.336024,8.20979560453046,92317.bin,2016,48.24727272727273,0.03168803422804789,17.774545454545457,2.14401923039299,0.2991662175074601,0.49418513034337624
2016-07-01,15315.505162,1209.406225,7.89661334841709,92317.bin,2016,44.951904761904764,-0.07074616725474137,13.1585,-4.56920973704085,-0.5810277452715507,-1.0640228350468517
2016-08-01,15673.482493,1289.953452,8.23016488247657,92317.bin,2016,45.843043478260874,0.0196303285617212,12.399565217391304,-2.0147539764871762,0.19555707545493764,-0.4711079601571901
2016-09-01,15649.533458,1310.556765,8.37441428217176,92317.bin,2016,46.567727272727275,0.015684289706694,14.21952380952381,0.3499668707692365,0.16164965462469946,0.07776753299134363
2016-10-01,15490.238671,1217.36494,7.858916611007979,92317.bin,2016,49.522380952380956,0.06151695442804561,14.585238095238097,-0.5906824067653886,0.5554793931479831,-0.1405666254297859
2016-11-01,15524.883859,1174.829975,7.567399445110399,92317.bin,2016,44.73409090909091,-0.1016888367414106,15.236190476190476,-0.20223919469302487,-0.8469111170378512,-0.05040504892328821
2016-12-01,15693.671967,1142.752509,7.28161332416615,92317.bin,2016,53.3085,0.17535992202805462,12.472380952380954,-3.4333013667564245,1.5337063069704184,-0.8003670772711404
2017-01-01,15510.812258,1897.715944,12.23,89170.bin,2017,54.57666666666666,0.023510647854556144,11.6085,-2.313323964736856,0.22889978292732507,-0.5404090574643113
2017-02-01,15303.497567,2107.921552,13.7741162944702,89170.bin,2017,54.8695,0.005351197598470581,11.530526315789475,-1.7712051896717576,0.07285972744372919,-0.41457783710941665
2017-03-01,15138.687438,2800.035754,18.49589513930752,89170.bin,2017,51.589130434782604,-0.061646638772884454,11.89782608695652,-1.3479360242639604,-0.5028375517822031,-0.3163328065522933
2017-04-01,15248.051335,2664.034462,17.4713109463702,89170.bin,2017,52.30789473684211,0.013836310861290446,13.136315789473684,-0.3730935497202985,0.14577038969636566,-0.09006206318819476
2017-05-01,15287.641322,2700.515436,17.6646964637623,89170.bin,2017,50.326521739130435,-0.03861510136739188,10.862272727272726,-3.5361226733742477,-0.3049327515847845,-0.8242329367198412
2017-06-01,15394.12648,2577.073552,16.74062867645089,89170.bin,2017,46.36818181818182,-0.08191872197261851,10.513636363636364,-2.2524543183425827,-0.6770309850990794,-0.5262806003057439
2017-07-01,15533.282053,4392.308223,28.27675573013687,89170.bin,2017,48.47857142857143,0.04450838676429658,10.2645,-2.2513400200974143,0.40932861190071024,-0.5260219604753634
2017-08-01,13502.248466,2550.608249,18.890248208827472,89170.bin,2017,51.70434782608696,0.06442000110033907,11.975652173913044,-0.361358135914136,0.5804246176689917,-0.08733815560830735
2017-09-01,13748.337754,2589.309811,18.83362088807176,89170.bin,2017,56.152857142857144,0.08253568880654294,10.437999999999999,-3.127272788345932,0.7360886314434308,-0.7293347661687594
2017-10-01,13902.949887,2669.945349,19.204164373033823,89170.bin,2017,57.50772727272727,0.023841762124575894,10.125454545454545,-2.3360938056245004,0.23174497308102907,-0.5456941665547225
2017-11-01,13821.503672,2816.29055,20.376151660729377,89170.bin,2017,62.71409090909091,0.08666683165594691,10.54047619047619,-1.6967274994428276,0.7715866090992044,-0.3972908161063261
2017-12-01,13657.661991,2416.913967,17.6963961225038,89170.bin,2017,64.3736842105263,0.026118761545017577,10.2645,-2.270605607775634,0.2513107149339669,-0.5304936971498837
2018-01-01,13590.511446,1989.78518,14.6409882211286,89173.bin,2018,69.07727272727273,0.07052085325436686,11.062380952380952,-1.2746293574462282,0.6328478626013477,-0.2993175918611636
2018-02-01,13223.258485,2212.281257,16.730227723443008,89173.bin,2018,65.3175,-0.05596577832837557,22.464736842105264,9.555008774573777,-0.45402320077184316,2.214350343713183
2018-03-01,13221.422933,2411.843468,18.2419356843972,89173.bin,2018,66.01666666666667,0.01064724114694826,19.023809523809526,-2.0705125965343214,0.11836743376160394,-0.4840500966935878
2018-04-01,13306.287646,2181.357472,16.3934339166021,89173.bin,2018,72.10600000000001,0.0882300231818034,18.267619047619046,-0.35681057525743753,0.7850187608982045,-0.08628262104025708
2018-05-01,13413.33605,2053.097602,15.3063905530049,89173.bin,2018,76.9752380952381,0.06534652837437971,14.124545454545455,-3.957091772261414,0.5883860573166437,-0.921944098703323
2018-06-01,13397.613347,2079.137069,15.5187122896449,89173.bin,2018,74.4047619047619,-0.03396384306886535,13.678095238095239,-1.4296499423501565,-0.2649655393214401,-0.3352994288234575
2018-07-01,13482.133955,1916.29983,14.2136240182462,89173.bin,2018,74.2540909090909,-0.002027071303343675,13.147619047619049,-1.6396648332691033,0.009459928849817287,-0.38404599734777733
2018-08-01,13486.517533,1942.79385,14.4054522989067,89173.bin,2018,72.52826086956522,-0.023516581579978713,12.54695652173913,-1.859552340747543,-0.17519458043290223,-0.43508409947490917
2018-09-01,13588.002716,1774.319459,13.057985754674,89173.bin,2018,78.89099999999999,0.08409086190065285,12.910526315789474,-1.0648278814148746,0.7494518826690666,-0.2506205590787935
2018-10-01,13194.101718,1872.289596,14.190352901749549,89173.bin,2018,81.03217391304348,0.02677913170444768,19.35217391304348,5.11584985987732,0.25698512659643735,1.1839769102926387
2018-11-01,13331.655244,1870.45255,14.030159914627326,89173.bin,2018,64.74818181818182,-0.22434066445159573,19.38904761904762,0.5289185272831709,-1.9008305766673097,0.11930401237443519
2018-12-01,13461.417003,2076.431448,15.425058502661706,89173.bin,2018,57.36235294117647,-0.12111740411493521,24.953157894736844,6.066560911793992,-1.0138564093335585,1.4046465077497554
2019-01-01,13348.171085,4187.572766,31.371884128049444,89160.bin,2019,59.40954545454545,0.035066695303666684,19.57238095238095,-3.3081260884507593,0.32819828919823973,-0.7713126361561393
2019-02-01,13132.901232,1916.427934,14.592570979901817,89176.bin,2019,63.9605,0.07381079397501633,15.234736842105262,-3.7834565340912416,0.661117580315729,-0.8816416134906645
2019-03-01,13067.231755,1986.229052,15.20007518991156,89176.bin,2019,66.13857142857144,0.0334864027941677,14.485238095238095,-1.419400807520784,0.3146191925083553,-0.3329205015431637
2019-04-01,13044.766396,2042.907598,15.660744976057448,89176.bin,2019,71.23333333333333,0.07420876554176026,12.949047619047619,-2.4176022009702507,0.6645372601232058,-0.5646130849306694
2019-05-01,13165.875733,2037.759318,15.47758280060625,89176.bin,2019,71.31772727272727,0.0011840522111175034,16.721818181818183,2.4578435946218313,0.03705238810905538,0.567026921744665
2019-06-01,13268.756804,2029.895389,15.29830879399393,89176.bin,2019,64.2205,-0.10482245150051916,15.836000000000002,-1.1360636706554068,-0.8738375610645172,-0.2671551022552475
2019-07-01,13646.918405,1961.3331,14.371985248196404,89176.bin,2019,63.9191304347826,-0.004703776963578932,13.305909090909092,-3.0303156098966024,-0.013540398464408245,-0.7068300298497093
2019-08-01,13714.169059,1895.027258,13.818024627284128,89176.bin,2019,59.041818181818186,-0.07937272182347055,18.97909090909091,4.458961689595505,-0.6551537807271488,1.0315065589506673
2019-09-01,13856.582677,1916.768761,13.8329110840696,89176.bin,2019,62.826666666666675,0.06213363621457191,15.559000000000001,-3.033330667922286,0.5607784004873181,-0.7075298551431
2019-10-01,14256.609988,1935.50404,13.58,89176.bin,2019,59.71304347826087,-0.05082913153768587,15.466521739130435,-0.6708727747774681,-0.40988515480042115,-0.15917961640479206
